0;1;2;3;sum
7.14;5.85;7.08;0.0;20.07
10.0;10.0;8.96;10.0;77.33
10.0;10.0;10.0;10.0;80.0
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
7.71;8.24;8.08;9.83;60.19
9.14;0.0;0.0;0.0;9.14
6.0;6.28;8.25;8.83;57.78
8.1;8.31;9.69;10.0;74.39
0.0;0.0;0.0;0.0;0.0
9.71;9.35;8.25;9.83;74.35
7.76;10.0;7.0;9.8;58.62
0.0;0.0;0.0;0.0;0.0
10.0;10.0;10.0;10.0;66.79
8.57;8.69;8.04;9.8;44.16
9.29;6.78;7.29;8.8;53.3
10.0;10.0;9.58;10.0;69.65
6.38;9.39;9.38;9.63;55.43
8.57;9.94;8.33;9.47;66.68
0.0;0.0;0.0;0.0;0.0
8.57;10.0;10.0;10.0;74.27
9.05;8.39;7.04;8.13;55.24
10.0;10.0;9.25;10.0;65.23
8.81;8.8;7.75;8.63;60.97
0.0;0.0;0.0;0.0;0.0
7.86;8.72;9.58;9.8;61.14
7.62;7.2;8.75;8.8;64.52
9.29;6.93;6.83;9.33;57.85
8.81;9.15;8.46;9.8;73.11
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
9.14;9.26;9.75;10.0;57.84
9.29;9.04;9.58;10.0;56.92
8.52;6.89;0.0;0.0;15.41
9.14;10.0;8.54;9.33;71.52
0.0;0.0;0.0;0.0;0.0
8.43;9.0;7.92;0.0;25.35
10.0;8.83;8.0;7.97;64.2
6.95;7.02;4.35;8.83;27.15
10.0;9.41;7.65;10.0;72.22
9.29;9.41;10.0;8.47;59.33
9.14;10.0;9.38;8.63;62.21
8.48;9.17;8.5;9.63;71.39
8.33;8.93;7.48;9.8;56.95
10.0;8.93;8.67;9.83;73.12
8.81;10.0;9.58;10.0;62.54
0.0;0.0;0.0;0.0;0.0
10.0;10.0;9.58;8.17;71.07
9.52;10.0;8.92;9.83;74.54
7.14;7.17;7.46;7.8;55.97
8.57;8.15;8.75;8.17;60.96
9.52;9.24;9.17;10.0;72.06
8.57;7.8;9.08;9.8;71.74
0.0;0.0;0.0;0.0;0.0
